datetime,city,state,country,country_label,shape,shape_cleaned,duration (seconds),duration_min,log_duration,latitude,longitude,year,month,hour,day_of_week,day_name,decade,season,is_weekend,time_of_day,comments
1949-10-10 20:30:00,san marcos,tx,us,United States,cylinder,other,2700.0,45.0,7.901377353792616,29.8830556,-97.9411111,1949,10,20,0,Monday,1940,Autumn,0,Evening (18–24),This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit
1949-10-10 21:00:00,lackland afb,tx,unknown,Unknown,light,light,7200.0,120.0,8.881975184248867,29.38421,-98.581082,1949,10,21,0,Monday,1940,Autumn,0,Evening (18–24),1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.
1955-10-10 17:00:00,chester (uk/england),unknown,gb,United Kingdom,circle,circle,20.0,0.3333333333333333,3.044522437723423,53.2,-2.916667,1955,10,17,0,Monday,1950,Autumn,0,Afternoon (12–18),Green/Orange circular disc over Chester&#44 England
1956-10-10 21:00:00,edna,tx,us,United States,circle,circle,20.0,0.3333333333333333,3.044522437723423,28.9783333,-96.6458333,1956,10,21,2,Wednesday,1950,Autumn,0,Evening (18–24),My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home
1960-10-10 20:00:00,kaneohe,hi,us,United States,light,light,900.0,15.0,6.803505257608338,21.4180556,-157.8036111,1960,10,20,0,Monday,1960,Autumn,0,Evening (18–24),AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan
1961-10-10 19:00:00,bristol,tn,us,United States,sphere,sphere,300.0,5.0,5.707110264748875,36.595,-82.1888889,1961,10,19,1,Tuesday,1960,Autumn,0,Evening (18–24),My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi
1965-10-10 21:00:00,penarth (uk/wales),unknown,gb,United Kingdom,circle,circle,180.0,3.0,5.198497031265826,51.434722,-3.18,1965,10,21,6,Sunday,1960,Autumn,1,Evening (18–24),penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal
1965-10-10 23:45:00,norwalk,ct,us,United States,disk,disk,1200.0,20.0,7.0909098220799835,41.1175,-73.4083333,1965,10,23,6,Sunday,1960,Autumn,1,Evening (18–24),A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.
1966-10-10 20:00:00,pell city,al,us,United States,disk,disk,180.0,3.0,5.198497031265826,33.5861111,-86.2861111,1966,10,20,0,Monday,1960,Autumn,0,Evening (18–24),Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama
1966-10-10 21:00:00,live oak,fl,us,United States,disk,disk,120.0,2.0,4.795790545596741,30.2947222,-82.9841667,1966,10,21,0,Monday,1960,Autumn,0,Evening (18–24),Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info
